youtube_id,cluster
tsne_530,343
tsne_531,-1
tsne_532,344
tsne_533,345
tsne_534,346
tsne_535,347
tsne_536,-1
tsne_537,292
tsne_538,-1
tsne_539,118
tsne_540,348
tsne_541,349
tsne_542,350
tsne_543,351
tsne_544,352
tsne_545,230
tsne_546,353
tsne_547,48
tsne_548,-1
tsne_549,-1
tsne_550,354
tsne_551,355
tsne_552,356
tsne_553,357
tsne_554,358
tsne_555,31
tsne_556,359
tsne_557,360
tsne_558,-1
tsne_559,361
tsne_560,61
tsne_561,108
tsne_562,-1
tsne_563,362
tsne_564,363
tsne_565,364
tsne_566,360
tsne_567,365
tsne_568,-1
tsne_569,-1
tsne_570,20
tsne_571,366
tsne_572,367
tsne_573,368
tsne_574,369
tsne_575,370
tsne_576,371
tsne_577,372
tsne_578,-1
tsne_579,258
tsne_580,-1
tsne_581,273
tsne_582,-1
tsne_583,373
tsne_584,-1
tsne_585,-1
tsne_586,374
tsne_587,89
tsne_588,375
tsne_589,376
tsne_590,377
tsne_591,-1
tsne_592,378
tsne_593,379
tsne_594,380
tsne_595,-1
tsne_596,-1
tsne_597,381
tsne_598,-1
tsne_599,382
tsne_600,383
tsne_601,384
tsne_602,111
tsne_603,385
tsne_604,386
tsne_605,387
tsne_606,156
tsne_607,388
tsne_608,389
tsne_609,390
tsne_610,391
tsne_611,392
tsne_612,393
tsne_613,-1
tsne_614,-1
tsne_615,394
tsne_616,395
tsne_617,-1
tsne_618,106
tsne_619,44
tsne_620,396
tsne_621,-1
tsne_622,302
tsne_623,397
tsne_624,307
tsne_625,-1
tsne_626,-1
tsne_627,398
tsne_628,61
tsne_629,-1
tsne_630,-1
tsne_631,399
tsne_632,400
tsne_633,401
tsne_634,402
tsne_635,403
tsne_636,404
tsne_637,405
tsne_638,406
tsne_639,407
tsne_640,408
tsne_641,358
tsne_642,409
tsne_643,-1
tsne_644,410
tsne_645,411
tsne_646,412
tsne_647,-1
tsne_648,8
tsne_649,413
tsne_650,414
tsne_651,415
tsne_652,-1
tsne_653,416
tsne_654,-1
tsne_655,417
tsne_656,-1
tsne_657,418
tsne_658,419
tsne_659,205
tsne_660,413
tsne_661,89
tsne_662,420
tsne_663,421
tsne_664,422
tsne_665,423
tsne_666,424
tsne_667,425
tsne_668,426
tsne_669,-1
tsne_670,427
tsne_671,185
tsne_672,-1
tsne_673,428
tsne_674,-1
tsne_675,17
tsne_676,429
tsne_677,73
tsne_678,12
tsne_679,430
tsne_680,431
tsne_681,432
tsne_682,433
tsne_683,434
tsne_684,435
tsne_685,436
tsne_686,301
tsne_687,437
tsne_688,-1
tsne_689,438
tsne_690,295
tsne_691,62
tsne_692,439
tsne_693,440
tsne_694,-1
tsne_695,-1
tsne_696,-1
tsne_697,441
tsne_698,289
tsne_699,442
tsne_700,17
tsne_701,-1
tsne_702,232
tsne_703,443
tsne_704,444
tsne_705,445
tsne_706,-1
tsne_707,446
tsne_708,32
tsne_709,104
tsne_710,447
tsne_711,185
tsne_712,448
tsne_713,449
tsne_714,402
tsne_715,450
tsne_716,451
tsne_717,452
tsne_718,453
tsne_719,454
tsne_720,455
tsne_721,456
tsne_722,457
tsne_723,458
tsne_724,459
tsne_725,64
tsne_726,-1
tsne_727,-1
tsne_728,278
tsne_729,-1
tsne_730,460
tsne_731,461
tsne_732,462
tsne_733,463
tsne_734,464
tsne_735,465
tsne_736,466
tsne_737,467
tsne_738,468
tsne_739,469
tsne_740,470
tsne_741,-1
tsne_742,-1
tsne_743,-1
tsne_744,471
tsne_745,472
tsne_746,473
tsne_747,80
tsne_748,211
tsne_749,474
tsne_750,454
tsne_751,-1
tsne_752,475
tsne_753,476
tsne_754,477
tsne_755,478
tsne_756,-1
tsne_757,-1
tsne_758,417
tsne_759,286
tsne_760,70
tsne_761,194
tsne_762,-1
tsne_763,479
tsne_764,480
tsne_765,481
tsne_766,482
tsne_767,483
tsne_768,484
tsne_769,317
tsne_770,485
tsne_771,486
tsne_772,182
tsne_773,-1
tsne_774,409
tsne_775,-1
tsne_776,487
tsne_777,-1
tsne_778,488
tsne_779,-1
tsne_780,58
tsne_781,184
tsne_782,489
tsne_783,490
tsne_784,-1
tsne_785,491
tsne_786,492
tsne_787,493
tsne_788,411
tsne_789,16
tsne_790,244
tsne_791,-1
tsne_792,-1
tsne_793,494
tsne_794,-1
tsne_795,495
tsne_796,496
tsne_797,58
tsne_798,381
tsne_799,497
tsne_800,498
tsne_801,499
tsne_802,500
tsne_803,417
tsne_804,-1
tsne_805,139
tsne_806,501
tsne_807,502
tsne_808,430
tsne_809,503
tsne_810,504
tsne_811,-1
tsne_812,505
tsne_813,458
tsne_814,506
tsne_815,507
tsne_816,508
tsne_817,398
tsne_818,267
tsne_819,-1
tsne_820,218
tsne_821,489
tsne_822,-1
tsne_823,58
tsne_824,-1
tsne_825,-1
tsne_826,40
tsne_827,272
tsne_828,332
tsne_829,-1
tsne_830,366
tsne_831,509
tsne_832,510
tsne_833,511
tsne_834,512
tsne_835,-1
tsne_836,-1
tsne_837,56
tsne_838,513
tsne_839,-1
tsne_840,291
tsne_841,73
tsne_842,254
tsne_843,514
tsne_844,515
tsne_845,421
tsne_846,273
tsne_847,516
tsne_848,117
tsne_849,34
tsne_850,517
tsne_851,518
tsne_852,519
tsne_853,520
tsne_854,152
tsne_855,-1
tsne_856,336
tsne_857,-1
tsne_858,521
tsne_859,-1
tsne_860,522
tsne_861,19
tsne_862,523
tsne_863,432
tsne_864,-1
tsne_865,524
tsne_866,525
tsne_867,-1
tsne_868,526
tsne_869,344
tsne_870,-1
tsne_871,-1
tsne_872,-1
tsne_873,527
tsne_874,528
tsne_875,75
tsne_876,-1
tsne_877,529
tsne_878,-1
tsne_879,530
tsne_880,498
tsne_881,167
tsne_882,-1
tsne_883,531
tsne_884,-1
tsne_885,532
tsne_886,-1
tsne_887,533
tsne_888,534
tsne_889,535
tsne_890,536
tsne_891,537
tsne_892,250
tsne_893,538
tsne_894,539
tsne_895,540
tsne_896,280
tsne_897,314
tsne_898,541
tsne_899,542
tsne_900,-1
tsne_901,543
tsne_902,544
tsne_903,545
tsne_904,546
tsne_905,-1
tsne_906,547
tsne_907,-1
tsne_908,64
tsne_909,224
tsne_910,548
tsne_911,510
tsne_912,549
tsne_913,550
tsne_914,307
tsne_915,-1
tsne_916,518
tsne_917,551
tsne_918,262
tsne_919,552
tsne_920,553
tsne_921,554
tsne_922,555
tsne_923,-1
tsne_924,536
tsne_925,556
tsne_926,-1
tsne_927,557
tsne_928,558
tsne_929,559
tsne_930,-1
tsne_931,560
tsne_932,416
tsne_933,-1
tsne_934,383
tsne_935,561
tsne_936,562
tsne_937,563
tsne_938,564
tsne_939,565
tsne_940,566
tsne_941,567
tsne_942,568
tsne_943,99
tsne_944,569
tsne_945,275
tsne_946,280
tsne_947,413
tsne_948,570
tsne_949,54
tsne_950,571
tsne_951,192
tsne_952,572
tsne_953,11
tsne_954,561
tsne_955,171
tsne_956,573
tsne_957,-1
tsne_958,574
tsne_959,575
tsne_960,-1
tsne_961,576
tsne_962,101
tsne_963,577
tsne_964,578
tsne_965,346
tsne_966,579
tsne_967,577
tsne_968,551
tsne_969,-1
tsne_970,542
tsne_971,183
tsne_972,580
tsne_973,581
tsne_974,-1
tsne_975,357
tsne_976,582
tsne_977,583
tsne_978,179
tsne_979,360
tsne_980,584
tsne_981,533
tsne_982,585
tsne_983,167
tsne_984,586
tsne_985,587
tsne_986,563
tsne_987,528
tsne_988,588
tsne_989,589
tsne_990,518
tsne_991,397
tsne_992,578
tsne_993,590
tsne_994,588
tsne_995,-1
tsne_996,-1
tsne_997,591
tsne_998,-1
tsne_999,-1
tsne_1000,592
tsne_1001,-1
tsne_1002,593
tsne_1003,594
tsne_1004,595
tsne_1005,254
tsne_1006,566
tsne_1007,563
tsne_1008,596
tsne_1009,597
tsne_1010,598
tsne_1011,569
tsne_1012,599
tsne_1013,583
tsne_1014,-1
tsne_1015,-1
tsne_1016,-1
tsne_1017,600
tsne_1018,71
tsne_1019,601
tsne_1020,-1
tsne_1021,-1
tsne_1022,602
tsne_1023,398
tsne_1024,603
tsne_1025,-1
tsne_1026,567
tsne_1027,-1
tsne_1028,327
tsne_1029,589
tsne_1030,604
tsne_1031,605
tsne_1032,606
tsne_1033,-1
tsne_1034,287
tsne_1035,122
tsne_1036,607
tsne_1037,-1
tsne_1038,167
tsne_1039,-1
tsne_1040,608
tsne_1041,609
tsne_1042,610
tsne_1043,-1
tsne_1044,611
tsne_1045,612
tsne_1046,504
tsne_1047,-1
tsne_1048,69
tsne_1049,-1
tsne_1050,613
tsne_1051,614
tsne_1052,615
tsne_1053,616
tsne_1054,617
tsne_1055,618
tsne_1056,619
tsne_1057,402
tsne_1058,101
tsne_1059,620
tsne_1060,228
tsne_1061,-1
tsne_1062,621
tsne_1063,622
tsne_1064,-1
tsne_1065,-1
tsne_1066,361
tsne_1067,303
tsne_1068,-1
tsne_1069,115
tsne_1070,399
tsne_1071,58
tsne_1072,623
tsne_1073,88
tsne_1074,624
tsne_1075,405
tsne_1076,-1
tsne_1077,-1
tsne_1078,625
tsne_1079,626
tsne_1080,-1
tsne_1081,627
tsne_1082,628
tsne_1083,629
tsne_1084,377
tsne_1085,630
tsne_1086,258
tsne_1087,631
tsne_1088,502
tsne_1089,632
tsne_1090,633
tsne_1091,-1
tsne_1092,634
tsne_1093,-1
tsne_1094,300
tsne_1095,635
tsne_1096,636
tsne_1097,637
tsne_1098,638
tsne_1099,639
tsne_1100,640
tsne_1101,-1
tsne_1102,218
tsne_1103,641
tsne_1104,642
tsne_1105,456
tsne_1106,643
tsne_1107,270
tsne_1108,75
tsne_1109,62
tsne_1110,-1
tsne_1111,121
tsne_1112,334
tsne_1113,-1
tsne_1114,381
tsne_1115,644
tsne_1116,645
tsne_1117,488
tsne_1118,5
tsne_1119,646
tsne_1120,647
tsne_1121,648
tsne_1122,649
tsne_1123,-1
tsne_1124,650
tsne_1125,413
tsne_1126,127
tsne_1127,651
tsne_1128,-1
tsne_1129,652
tsne_1130,131
tsne_1131,653
tsne_1132,654
tsne_1133,655
tsne_1134,-1
tsne_1135,656
tsne_1136,425
tsne_1137,-1
tsne_1138,-1
tsne_1139,657
tsne_1140,213
tsne_1141,-1
tsne_1142,658
tsne_1143,659
tsne_1144,660
tsne_1145,-1
tsne_1146,661
tsne_1147,55
tsne_1148,43
tsne_1149,52
tsne_1150,580
tsne_1151,-1
tsne_1152,629
tsne_1153,19
tsne_1154,662
tsne_1155,103
tsne_1156,663
tsne_1157,664
tsne_1158,420
tsne_1159,33
tsne_1160,665
tsne_1161,-1
tsne_1162,453
tsne_1163,666
tsne_1164,-1
tsne_1165,667
tsne_1166,668
tsne_1167,669
tsne_1168,-1
tsne_1169,14
tsne_1170,670
tsne_1171,671
tsne_1172,672
tsne_1173,280
tsne_1174,673
tsne_1175,-1
tsne_1176,674
tsne_1177,675
tsne_1178,18
tsne_1179,676
tsne_1180,-1
tsne_1181,677
tsne_1182,40
tsne_1183,576
tsne_1184,-1
tsne_1185,564
tsne_1186,678
tsne_1187,441
tsne_1188,2
tsne_1189,104
tsne_1190,-1
tsne_1191,679
tsne_1192,513
tsne_1193,393
tsne_1194,680
tsne_1195,-1
tsne_1196,-1
tsne_1197,668
tsne_1198,320
tsne_1199,681
tsne_1200,682
tsne_1201,606
tsne_1202,161
tsne_1203,683
tsne_1204,339
tsne_1205,684
tsne_1206,685
tsne_1207,80
tsne_1208,150
tsne_1209,686
tsne_1210,687
tsne_1211,-1
tsne_1212,431
tsne_1213,688
tsne_1214,689
tsne_1215,690
tsne_1216,53
tsne_1217,691
tsne_1218,60
tsne_1219,692
tsne_1220,-1
tsne_1221,346
tsne_1222,204
tsne_1223,693
tsne_1224,694
tsne_1225,695
tsne_1226,185
tsne_1227,696
tsne_1228,-1
tsne_1229,254
tsne_1230,347
tsne_1231,53
tsne_1232,697
tsne_1233,-1
tsne_1234,698
tsne_1235,-1
tsne_1236,398
tsne_1237,650
tsne_1238,567
tsne_1239,-1
tsne_1240,699
tsne_1241,177
tsne_1242,700
tsne_1243,701
tsne_1244,3
tsne_1245,702
tsne_1246,-1
tsne_1247,703
tsne_1248,704
tsne_1249,182
tsne_1250,705
tsne_1251,706
tsne_1252,-1
tsne_1253,-1
tsne_1254,378
tsne_1255,707
tsne_1256,708
tsne_1257,709
tsne_1258,396
tsne_1259,-1
tsne_1260,107
tsne_1261,667
tsne_1262,-1
tsne_1263,127
tsne_1264,710
tsne_1265,711
tsne_1266,264
tsne_1267,468
tsne_1268,-1
tsne_1269,273
tsne_1270,515
tsne_1271,277
tsne_1272,-1
tsne_1273,-1
tsne_1274,712
tsne_1275,699
tsne_1276,110
tsne_1277,713
tsne_1278,-1
tsne_1279,-1
tsne_1280,340
tsne_1281,714
tsne_1282,715
tsne_1283,-1
tsne_1284,92
tsne_1285,716
tsne_1286,-1
tsne_1287,717
tsne_1288,718
tsne_1289,-1
tsne_1290,719
tsne_1291,720
tsne_1292,-1
tsne_1293,646
tsne_1294,64
tsne_1295,447
tsne_1296,261
tsne_1297,-1
tsne_1298,403
tsne_1299,721
tsne_1300,449
tsne_1301,58
tsne_1302,-1
tsne_1303,433
tsne_1304,722
tsne_1305,183
tsne_1306,723
tsne_1307,724
tsne_1308,628
tsne_1309,725
tsne_1310,-1
tsne_1311,478
tsne_1312,192
tsne_1313,-1
tsne_1314,726
tsne_1315,673
tsne_1316,727
tsne_1317,-1
tsne_1318,59
tsne_1319,728
tsne_1320,-1
tsne_1321,-1
tsne_1322,-1
tsne_1323,729
tsne_1324,730
tsne_1325,190
tsne_1326,731
tsne_1327,498
tsne_1328,-1
tsne_1329,732
tsne_1330,-1
tsne_1331,733
tsne_1332,712
tsne_1333,734
tsne_1334,735
tsne_1335,-1
tsne_1336,297
tsne_1337,736
tsne_1338,578
tsne_1339,220
tsne_1340,737
tsne_1341,24
tsne_1342,-1
tsne_1343,738
tsne_1344,730
tsne_1345,481
tsne_1346,739
tsne_1347,740
tsne_1348,741
tsne_1349,742
tsne_1350,34
tsne_1351,743
tsne_1352,744
tsne_1353,745
tsne_1354,180
tsne_1355,670
tsne_1356,-1
tsne_1357,746
tsne_1358,747
tsne_1359,171
tsne_1360,-1
tsne_1361,590
tsne_1362,90
tsne_1363,-1
tsne_1364,-1
tsne_1365,748
tsne_1366,-1
tsne_1367,749
tsne_1368,-1
tsne_1369,-1
tsne_1370,750
tsne_1371,-1
tsne_1372,436
tsne_1373,-1
tsne_1374,720
tsne_1375,-1
tsne_1376,70
tsne_1377,751
tsne_1378,-1
tsne_1379,-1
tsne_1380,752
tsne_1381,753
tsne_1382,754
tsne_1383,755
tsne_1384,756
tsne_1385,757
tsne_1386,134
tsne_1387,758
tsne_1388,678
tsne_1389,-1
tsne_1390,-1
tsne_1391,-1
tsne_1392,291
tsne_1393,759
tsne_1394,760
tsne_1395,-1
tsne_1396,761
tsne_1397,762
tsne_1398,326
tsne_1399,763
tsne_1400,612
tsne_1401,389
tsne_1402,220
tsne_1403,250
tsne_1404,764
tsne_1405,592
tsne_1406,-1
tsne_1407,765
tsne_1408,338
tsne_1409,120
tsne_1410,766
tsne_1411,12
tsne_1412,89
tsne_1413,767
tsne_1414,-1
tsne_1415,768
tsne_1416,769
tsne_1417,258
tsne_1418,770
tsne_1419,265
tsne_1420,47
tsne_1421,771
tsne_1422,772
tsne_1423,220
tsne_1424,473
tsne_1425,-1
tsne_1426,173
tsne_1427,773
tsne_1428,692
tsne_1429,75
tsne_1430,-1
tsne_1431,774
tsne_1432,-1
tsne_1433,-1
tsne_1434,775
tsne_1435,623
tsne_1436,-1
tsne_1437,363
tsne_1438,644
tsne_1439,459
tsne_1440,-1
tsne_1441,619
tsne_1442,776
tsne_1443,-1
tsne_1444,-1
tsne_1445,199
tsne_1446,10
tsne_1447,-1
tsne_1448,-1
tsne_1449,777
tsne_1450,567
tsne_1451,92
tsne_1452,767
tsne_1453,778
tsne_1454,779
tsne_1455,763
tsne_1456,-1
tsne_1457,739
tsne_1458,507
tsne_1459,360
tsne_1460,780
tsne_1461,781
tsne_1462,159
tsne_1463,-1
tsne_1464,-1
tsne_1465,-1
tsne_1466,387
tsne_1467,782
tsne_1468,-1
tsne_1469,783
tsne_1470,345
tsne_1471,-1
tsne_1472,-1
tsne_1473,696
tsne_1474,784
tsne_1475,-1
tsne_1476,314
tsne_1477,785
tsne_1478,189
tsne_1479,786
tsne_1480,486
tsne_1481,502
tsne_1482,666
tsne_1483,689
tsne_1484,651
tsne_1485,741
tsne_1486,613
tsne_1487,-1
tsne_1488,-1
tsne_1489,787
tsne_1490,-1
tsne_1491,707
tsne_1492,-1
tsne_1493,630
tsne_1494,788
tsne_1495,789
tsne_1496,704
tsne_1497,301
tsne_1498,-1
tsne_1499,222
tsne_1500,790
tsne_1501,353
tsne_1502,-1
tsne_1503,791
tsne_1504,493
tsne_1505,792
tsne_1506,793
tsne_1507,508
tsne_1508,794
tsne_1509,795
tsne_1510,743
tsne_1511,796
tsne_1512,756
tsne_1513,-1
tsne_1514,797
tsne_1515,533
tsne_1516,327
tsne_1517,798
tsne_1518,799
tsne_1519,800
tsne_1520,-1
tsne_1521,801
tsne_1522,-1
tsne_1523,339
tsne_1524,-1
tsne_1525,412
tsne_1526,802
tsne_1527,278
tsne_1528,-1
tsne_1529,763
tsne_1530,51
tsne_1531,-1
tsne_1532,803
tsne_1533,804
tsne_1534,99
tsne_1535,453
tsne_1536,805
tsne_1537,806
tsne_1538,807
tsne_1539,42
tsne_1540,763
tsne_1541,808
tsne_1542,529
tsne_1543,809
tsne_1544,-1
tsne_1545,810
tsne_1546,-1
tsne_1547,811
tsne_1548,-1
tsne_1549,573
tsne_1550,775
tsne_1551,488
tsne_1552,369
tsne_1553,185
tsne_1554,31
tsne_1555,498
tsne_1556,292
tsne_1557,-1
tsne_1558,27
tsne_1559,812
tsne_1560,597
tsne_1561,813
tsne_1562,814
tsne_1563,764
tsne_1564,84
tsne_1565,-1
tsne_1566,778
tsne_1567,368
tsne_1568,815
tsne_1569,204
tsne_1570,816
tsne_1571,256
tsne_1572,-1
tsne_1573,817
tsne_1574,689
tsne_1575,818
tsne_1576,259
tsne_1577,655
tsne_1578,-1
tsne_1579,401
tsne_1580,819
tsne_1581,-1
tsne_1582,-1
tsne_1583,820
tsne_1584,738
tsne_1585,821
tsne_1586,761
tsne_1587,476
tsne_1588,-1
tsne_1589,822
tsne_1590,823
tsne_1591,-1
tsne_1592,-1
tsne_1593,73
tsne_1594,824
tsne_1595,600
tsne_1596,825
tsne_1597,-1
tsne_1598,826
tsne_1599,827
tsne_1600,554
tsne_1601,385
tsne_1602,-1
tsne_1603,-1
tsne_1604,751
tsne_1605,-1
tsne_1606,828
tsne_1607,805
tsne_1608,568
tsne_1609,725
tsne_1610,-1
tsne_1611,-1
tsne_1612,-1
tsne_1613,829
tsne_1614,429
tsne_1615,830
tsne_1616,554
tsne_1617,831
tsne_1618,108
tsne_1619,832
tsne_1620,264
tsne_1621,-1
tsne_1622,437
